ter_code, ter_name
BEZEE0750200505, ICO Bastenaken Terminal BEZEE 07502 00505
BEZEE0750200521, ICO Hanze Terminal BEZEE 07502 00521
BEZEE0750200405, ICO Noordelijk Insteek Terminal BEZEE 07502 00405
BEANR0900501241, ICO Vrasene Terminal (K1241) BEANR 09005 01241
BEANR0900601333, Antwerp Euroterminal (AET K1333) BEANR 09006 01333
BEZEE0750200530, Wallenius Wilhelmsen Logistics BEZEE 07502 00530
BEZEE0750200529, C.RO Canadakaai BEZEE 07502 00529
BEZEE0750300702, C.RO Zweedse kaai BEZEE 07503 00702
BEZEE0750300612, C.RO Brittanniadok BEZEE 07503 00612
BEZEE0750300107, P&O Ferries Terminal BEZEE 07503 00107
