type,omschrijving
*999,*|NILEFOS CHEMIE|9000|GENT|Zeehaven|
12CZ177500AP00109,CUSTOMS OFFICE KOLIN||||D&A locatie|Kantoor
1507DS-1,FIEGE BV||1507 DS|ZAANDAM|Pakhuis|
20,20 dagen vooruit
3902HR 1,MULLER TEXTIEL|GALILEISTRAAT 1|3902|HR VEENENDAAL|Pakhuis|
430407311A,FACAR EXPORT|RUE HEYVAERT 40|1080|MOLENBEEK SAINT JEAN|Pakhuis|
438110594A,"MSF SUPPLY|CHAUSSÉE DE VILVORDE, 140|1120|NEDER-OVER-HEEMBEEK|Pakhuis|"
443271489A,"DEM GROUP|RUE DU BASSIN COLLECTEUR, 10|1130|BRUXELLES|Pakhuis|"
448615102A,"HAMEX|RUE HEYVAERT, 47|1080|MOLENBEEK SAINT JEAN|Pakhuis|"
558498878A,FERNAND PAUWELS|VILVOORDSESTEENWEG 174|1120|NEDER-OVER-HEEMBEEK|Pakhuis|
7,7 dagen vooruit
AAAAAAAAAAA,AIR PROMOTIONS AGENCIES|BEDRIJVENZONE MACHELEN|1830|MACHELEN|Pakhuis|
ALB,PASSAGE ALBERTKANAAL||||Locatie in zeehaven|
ARSZ2403001,TERATEX NV||8700|AARSELE|Pakhuis|
ATGUNCU1900001,HONDA MOTOR EUROPE LOGISTICS – AUSTRIAN BRANCH|:  INDUSTRIESTRASSE 11-13|2353|GUNTRAMSDORF|Pakhuis|
BBUEK008902,DIENST INNINGEN|NORTH GALAXY B07|1030|SCHAARBEEK|D&A locatie|Kantoor
BBUEK008903,DIENST UITGAVEN/BORGTOCHTEN|NORTH GALAXY B07|1030|SCHAARBEEK|D&A locatie|Kantoor
BBUEK008904,DIENST INVORDERING|NORTH GALAXY B07|1030|SCHAARBEEK|D&A locatie|Kantoor
BE0631745855,"WITCHES BREWERY|PLACE ,10|7880|FLOBECQ|Pakhuis|"
BEAAB,AALST||||Zeehaven|
BEAAB001,ECS AALST||||Locatie in zeehaven|Aanlegplaats
BEAABCA00032001,EDC|TRAGEL 53|9300|AALST|Pakhuis|
BEAABD1282001,D-1282-B|WIJNGAARDVELD 18|9300|AALST|Pakhuis|Particulier Douane-entrepot type D
BEAABD1415001,D-1415-B|WIJNGAARDVELD 34|9300|AALST|Pakhuis|Particulier Douane-entrepot type D
BEAABD1451001,D-1451-B|WIJNGAARDVELD 34C|9300|AALST|Pakhuis|Particulier Douane-entrepot type D
BEAABF0000001,ENTREPOT TYPE F||||Pakhuis|Publiek Douane-entrepot type A
BEAABGP00620001,TDS BVBA|UNIVERSAL EXPRESS|9300|AALST|Pakhuis|
BEAABGP00620004,TDS BVBA|TUPPERWARE|9300|AALST|Pakhuis|
BEAABGP00620005,TDS BVBA|FLEXIFOAM BVBA|9308|AALST|Pakhuis|
BEAABGP00620006,TDS BVBA|RÖCHLING AUTOMOTIVE GIJZEGEM|9308|AALST|Pakhuis|
BEAABGP00620007,TDS BVBA|JEAN ALAN|9308|AALST|Pakhuis|
